Date,House,anemia,arrhythmia,asthma,bacteria,biopsy,cancer,cardiomyopathy,cholesterol,coma,diabetes,embolism,encephalitis,epilepsy,hypertension,immunodeficiency,infection,leukemia,lupus,malaria,pneumonia,sepsis,stroke,tumor,Average
2009-01,59,59,56,39,41,50,73,46,63,21,61,19,31,38,38,7,56,64,37,19,23,51,43,26,41.78260869565217
2009-02,48,68,59,43,50,55,79,65,65,21,68,23,42,42,42,9,58,66,38,23,27,43,45,26,45.95652173913044
2009-03,44,66,60,46,49,54,76,52,65,22,71,24,39,41,43,9,58,75,43,22,24,36,45,28,45.56521739130435
2009-04,100,69,57,45,50,51,79,51,63,22,68,22,42,39,42,10,56,71,43,25,22,38,45,26,45.04347826086956
2009-05,66,64,57,42,42,50,82,46,57,23,64,21,40,39,36,9,55,69,39,23,18,30,44,26,42.43478260869565
2009-06,30,67,58,38,35,55,84,49,62,25,63,23,34,41,37,8,55,63,46,18,16,38,43,27,42.82608695652174
2009-07,25,61,59,34,29,54,72,49,61,22,62,20,35,33,37,8,56,57,58,17,15,29,45,28,40.91304347826087
2009-08,30,57,58,34,30,53,70,47,64,24,60,19,35,36,36,7,58,60,40,17,15,32,42,28,40.08695652173913
2009-09,70,66,59,42,48,51,78,52,64,21,65,24,40,38,37,9,62,66,45,17,22,33,45,30,44.08695652173913
2009-10,69,65,61,49,50,52,90,56,69,22,66,23,44,41,39,11,59,68,43,20,32,34,46,27,46.391304347826086
2009-11,57,69,57,47,46,51,75,48,68,28,68,24,44,44,41,10,63,78,39,20,31,36,45,27,46.04347826086956
2009-12,43,60,50,38,37,44,66,44,52,21,57,23,33,37,38,7,56,58,36,18,24,32,43,26,39.130434782608695
2010-01,45,63,57,41,40,46,73,49,62,23,64,21,34,36,42,7,58,64,41,19,23,32,48,26,42.130434782608695
2010-02,42,72,61,44,51,52,75,53,66,21,67,23,31,38,44,9,60,68,40,22,27,35,50,27,45.04347826086956
2010-03,40,73,61,45,52,57,73,55,70,27,71,23,40,41,44,10,60,70,42,24,23,34,48,28,46.56521739130435
2010-04,38,68,57,47,50,51,75,52,62,24,68,23,38,41,42,10,60,72,43,26,20,41,49,27,45.47826086956522
2010-05,45,71,58,42,45,48,71,52,58,25,66,44,38,40,39,8,60,67,48,22,18,35,52,26,44.91304347826087
2010-06,23,65,53,35,34,48,67,46,57,20,62,24,35,36,37,7,57,60,58,19,15,32,48,24,40.82608695652174
2010-07,21,64,55,33,29,45,63,46,54,25,58,23,43,32,34,6,61,56,45,19,14,30,45,24,39.30434782608695
2010-08,28,64,48,36,30,46,64,41,55,24,57,21,46,34,36,6,61,57,44,17,14,29,42,23,38.91304347826087
2010-09,42,67,54,41,42,47,79,47,58,23,61,26,41,34,41,8,62,63,46,19,19,33,44,24,42.56521739130435
2010-10,38,71,55,41,46,48,87,51,65,27,62,27,38,37,42,8,60,63,45,22,24,35,46,26,44.608695652173914
2010-11,35,71,52,41,44,47,69,49,59,27,62,23,36,39,42,8,59,68,41,23,24,39,47,24,43.21739130434783
2010-12,27,58,47,36,40,42,64,42,49,24,54,22,31,33,36,7,59,58,36,17,25,31,43,21,38.04347826086956
2011-01,28,62,55,39,41,53,72,45,57,25,57,22,33,35,43,7,70,58,43,21,31,36,47,24,42.43478260869565
2011-02,31,68,54,40,51,53,73,52,60,25,61,25,37,42,45,8,73,60,41,20,35,39,80,25,46.391304347826086
2011-03,34,73,59,45,51,60,75,65,64,28,66,33,37,42,46,8,72,74,55,21,29,41,59,28,49.17391304347826
2011-04,31,67,52,45,48,53,73,52,56,29,61,25,39,40,40,9,71,64,48,21,23,39,51,25,44.82608695652174
2011-05,37,63,48,42,43,54,75,49,53,30,57,23,34,37,38,8,69,60,55,20,20,43,47,26,43.21739130434783
2011-06,18,63,51,36,36,55,74,45,55,24,59,21,34,33,38,7,73,55,49,16,16,36,53,23,41.391304347826086
2011-07,15,62,46,32,30,51,66,44,50,25,56,20,36,32,36,6,71,52,44,15,14,36,46,24,38.869565217391305
2011-08,16,63,51,34,30,53,68,46,50,25,56,20,40,33,36,6,68,61,42,14,14,33,43,23,39.52173913043478
2011-09,22,64,51,37,46,52,79,51,62,25,57,22,43,35,38,8,69,63,45,15,21,39,47,25,43.21739130434783
2011-10,41,66,54,40,48,56,97,50,60,26,59,24,41,38,40,8,72,61,45,18,24,40,51,27,45.43478260869565
2011-11,26,65,52,42,45,53,74,54,56,29,60,22,38,38,42,8,71,58,41,18,30,34,48,25,43.608695652173914
2011-12,19,57,46,36,36,49,67,66,50,26,53,22,36,34,37,7,69,55,37,14,29,39,47,22,40.608695652173914
2012-01,21,68,54,40,41,55,73,53,59,29,65,22,38,36,46,7,72,61,47,17,30,39,51,25,44.69565217391305
2012-02,24,72,64,46,55,57,73,55,63,30,60,25,40,39,52,8,76,68,46,19,31,41,51,27,47.73913043478261
2012-03,20,70,60,45,48,57,73,54,60,25,62,24,36,39,47,8,72,63,49,18,28,42,51,25,45.91304347826087
2012-04,21,71,60,44,49,54,79,54,53,31,60,25,39,42,42,8,72,68,47,21,24,42,49,28,46.17391304347826
2012-05,46,60,51,41,74,55,73,51,54,28,58,21,36,37,42,8,72,61,52,19,20,41,48,26,44.69565217391305
2012-06,15,58,50,35,44,54,71,45,51,27,55,19,33,35,39,7,74,56,43,13,18,35,55,25,40.95652173913044
2012-07,11,60,50,35,38,53,67,45,49,31,58,22,41,34,36,6,72,53,44,14,17,44,47,24,40.869565217391305
2012-08,10,59,50,36,36,56,72,43,52,32,54,21,54,32,37,7,72,57,43,13,17,38,48,36,41.95652173913044
2012-09,9,63,57,40,52,55,76,53,56,47,55,24,48,38,43,8,74,60,45,15,24,42,49,27,45.69565217391305
2012-10,8,66,61,42,52,58,100,50,58,29,58,23,41,39,43,8,74,67,43,16,28,41,49,26,46.608695652173914
2012-11,8,63,58,41,47,52,71,47,53,33,58,22,39,39,41,8,72,63,50,17,29,42,48,25,44.26086956521739
2012-12,8,53,51,37,41,47,64,44,45,27,49,19,34,32,39,7,71,61,41,14,34,36,46,23,39.78260869565217
2013-01,9,59,58,44,44,53,69,47,53,26,57,20,35,36,45,8,78,59,41,16,38,42,48,25,43.52173913043478
2013-02,8,67,67,44,54,54,70,55,59,27,60,24,39,38,48,9,73,61,44,18,32,46,50,26,46.30434782608695
2013-03,8,64,61,41,52,54,66,46,55,100,60,23,41,46,46,9,74,63,42,18,28,43,48,25,48.04347826086956
2013-04,7,66,62,47,52,56,74,45,59,28,63,22,37,41,45,9,69,61,45,21,24,48,52,25,45.69565217391305
