Date,House,anemia,arrhythmia,asthma,bacteria,biopsy,cancer,cardiomyopathy,cholesterol,coma,diabetes,embolism,encephalitis,epilepsy,hypertension,immunodeficiency,infection,leukemia,lupus,malaria,pneumonia,sepsis,stroke,tumor,Average
2022-09,14,83,85,50,68,77,75,63,88,24,79,38,48,47,71,22,91,67,41,13,30,67,73,83,60.130434782608695
2022-10,15,85,87,55,67,81,85,82,91,24,83,59,47,48,88,22,91,68,41,15,36,68,78,87,64.69565217391305
2022-11,13,82,83,53,62,75,78,89,85,30,82,50,51,50,85,21,93,69,47,15,45,65,77,100,64.65217391304348
2022-12,12,77,80,48,53,71,75,67,75,23,77,45,65,43,89,20,100,66,41,12,51,67,67,84,60.69565217391305
2023-01,13,85,97,51,58,80,85,84,92,27,87,48,57,46,95,19,93,67,46,13,37,67,79,82,65.0
2023-02,11,95,89,53,76,88,84,82,99,25,96,51,50,54,100,20,95,75,60,15,36,73,82,85,68.82608695652173
2023-03,10,100,88,58,71,93,80,86,100,26,97,64,55,49,68,21,94,85,58,15,34,74,77,52,67.17391304347827
2023-04,12,95,85,56,74,91,82,80,96,25,99,55,50,49,56,22,92,76,51,17,31,71,82,10,62.82608695652174
2023-05,19,94,81,57,63,87,82,83,92,26,91,71,62,48,54,18,88,76,52,16,28,68,79,22,62.52173913043478
2023-06,12,94,78,52,49,93,82,82,89,29,97,59,55,48,51,16,88,75,50,34,25,70,76,15,61.17391304347826
2023-07,10,92,75,45,48,79,78,79,86,25,90,50,57,52,48,15,82,70,46,36,22,71,75,13,58.0
2023-08,11,88,76,47,57,90,76,79,84,22,87,64,53,49,47,16,81,66,44,18,24,66,69,12,57.17391304347826
2023-09,11,95,81,53,81,88,81,82,89,22,90,69,56,50,49,22,87,72,44,18,30,71,72,10,61.391304347826086
2023-10,11,99,88,61,77,88,87,77,94,25,89,68,49,55,54,22,88,76,46,17,38,72,75,13,63.391304347826086
2023-11,12,98,81,59,68,85,75,74,85,27,90,63,61,53,53,22,95,73,41,15,51,69,72,13,61.869565217391305
2023-12,13,88,73,54,56,77,73,72,83,24,80,68,59,54,55,19,98,65,43,13,62,74,66,20,59.82608695652174
2024-01,13,93,82,54,62,88,83,73,95,25,97,79,54,53,58,20,97,73,45,15,48,73,70,14,63.08695652173913
2024-02,12,98,96,56,81,95,89,83,100,26,97,83,57,55,61,22,89,73,46,17,41,74,75,5,66.04347826086956
2024-03,12,91,88,56,71,94,91,77,96,31,99,80,52,53,58,21,90,70,49,15,36,77,72,18,64.56521739130434
2024-04,13,91,86,55,76,97,83,77,94,26,100,78,52,56,57,21,87,80,47,18,34,73,73,8,63.869565217391305
2024-05,15,87,77,52,65,94,78,73,87,24,89,76,60,50,53,16,82,66,46,17,32,74,73,20,60.47826086956522
2024-06,15,85,67,45,52,90,82,65,84,23,89,66,51,48,47,15,88,66,49,13,29,69,73,18,57.130434782608695
2024-07,15,87,74,47,50,89,76,68,88,23,86,70,45,47,47,17,84,63,49,13,29,70,71,17,56.95652173913044
2024-08,15,85,76,47,54,95,77,69,89,21,88,100,100,52,46,17,80,66,42,13,30,75,67,15,61.04347826086956
2024-09,17,88,84,53,79,92,78,72,93,25,85,71,86,52,49,20,83,67,44,15,41,79,69,18,62.73913043478261
2024-10,19,95,92,58,77,100,85,72,99,25,86,74,65,54,53,20,86,67,44,15,73,74,75,20,65.6086956521739
2024-11,19,82,79,56,64,94,76,67,90,26,87,46,61,54,50,21,86,66,43,14,88,76,69,30,61.95652173913044
2024-12,17,85,80,62,70,94,77,76,85,27,91,28,59,54,52,24,95,67,47,16,88,68,67,35,62.91304347826087
